Montadoras,Modelos 
,C4 LOUNGE Tendance 2.0 Flex 4p Aut.
,C4 LOUNGE Tendance 2.0 Flex 4p Mec.
,C4 PAL.Excl/Excl(Tech.) 2.0/2.0 Flex Aut
,C4 PALLAS Exclusive 2.0/2.0 Flex 16V Mec
,C4 PALLAS GLX 2.0/ 2.0 Flex Aut.
,C4 PALLAS GLX 2.0/2.0 Flex 16V Mec.
,C4 Picasso Grand 2.0 16V 143cv Aut
,C4 Picasso Intensive 1.6 Turbo 16V Aut.
,C4 Picasso Seduction 1.6 Turbo 16V Aut.
,C4 Picasso/Pic. La Luna 2.0 16V Aut.
,C4 rockyou 1.6 Flex 16V 5p Mec
,C4 Tendance 1.6 Flex 16V 5p Mec.
,C4 Tendance 2.0 Flex 16V 5p Aut.
,C4 VTR 2.0 16V 143cv
,C5 3.0 24V 210cv 4p Aut.
,C5 Exclusive 2.0 16V 138cv 4p Mec.
,C5 Exclusive 2.0 16V 4p Aut.
,C5 Exclusive Break 2.0 16V 138cv 5p Mec.
,C5 Exclusive Break 2.0 16V Aut.
,C5 Tourer Exclusive 2.0 16V 5p Aut.
,C6 Exclusive 3.0 V6 24V 215cv Aut.
,C8 Exclusive 2.0 16V 138cv 5p Aut.
,DS3 1.6 Turbo 16V 3p Mec.
,DS3 Sport Chic 1.6 TB 16V 3p Mec.
,DS4 1.6 Chic Turbo 16V 5p Aut.
,DS4 1.6 So Chic Turbo 16V 5p Aut.
,DS4 1.6 Turbo 16V 5p Aut.
,DS5 1.6 Be Chic Turbo 16V 5p Aut.
,DS5 1.6 So Chic Turbo 16V 5p Aut.
,DS5 1.6 Turbo 16V 5p Aut.
,Evasion GLX 2.0 16V
,Evasion VSX Turbo
,Grand C4 Picasso Intensive 1.6 TB Aut.
,Grand C4 Picasso Seduction 1.6 TB Aut.
,Jumper 2.3 15/16Lug. TB Diesel
,Jumper 2.3 Furgão TB Diesel
,Jumper 2.3 Vetrato Exec. 16Lug. TB Dies.
,Jumper 2.3 Vetrato TB Diesel
,Jumper 2.5 Diesel
,Jumper 2.8 16Lug. Diesel
,Jumper 2.8 Furgão 35C Diesel
,Jumper 2.8 Furgão 35MH Diesel
,Xantia 2.0 16V
,Xantia Activa 2.0
,Xantia Activa 2.0 TB
,Xantia Activa 3.0 V6 Mec
,Xantia Break 2.0 8V/GLX 2.0 16V Aut
,Xantia Break GLX 2.0 16V Mec.
,Xantia Exclusive 2.0 16V
,Xantia Exclusive 3.0 V6
,Xantia GLX 2.0 16V Aut.
,Xantia GLX 2.0 16V Mec.
,Xantia SX 1.8
,Xantia SX 2.0 8V/16V Mec/ Aut
,Xantia VSX 2.0
,Xantia VSX 2.0 16V
,XM Exclusive 12v
,XM Exclusive 24V
,XM Exclusive Break
,XM Sensation 2.0 TB
,Xsara Break Exclusive 1.6 16V 5p Aut.
,Xsara Break Exclusive 1.6 16V 5p Mec.
,Xsara Break Exclusive 1.8 16V
,Xsara Break Exclusive 2.0 16V
,Xsara Break GLX 1.6 16V 5p Aut.
,Xsara Break GLX 1.6 16V 5p Mec.
,Xsara Break GLX 1.8 16V
,Xsara Break GLX/ Paris 2.0 16V
,Xsara Exclusive 1.6 16V 5p Aut.
,Xsara Exclusive 1.6 16V 5p Mec.
,Xsara Exclusive 1.8 8V/16V 5p Aut
,Xsara Exclusive 1.8 8V/16V 5p Mec
,Xsara Exclusive 2.0 16V
,Xsara GLX 1.6 16V 3p
,Xsara GLX 1.6 16V 5p Aut.
,Xsara GLX 1.6 16V 5p Mec.
,Xsara GLX 1.8 16V 5p Mec
,Xsara GLX 1.8 16V Cupê Mec
,Xsara GLX 1.8 8V 5p Aut
,Xsara GLX 1.8 8V Cupê Aut
,Xsara GLX/ Paris 2.0 16V
,Xsara Picasso Exc./Etoile 2.0 16v Mec
,Xsara Picasso Exclus. 1.6/ 1.6 Flex 16V
,Xsara Picasso Exclusive 2.0 16V Aut
,Xsara Picasso GLX /Brasil/Etoile 2.0 Mec
,Xsara Picasso GLX 1.6/ 1.6 Flex 16V
,Xsara Picasso GLX 2.0 16V Aut
,Xsara VTS 1.6 16V 3p
,Xsara VTS 1.8 16V
,Xsara VTS 2.0 16V Cupê Mec
,ZX Cupê 16V
,ZX Dakar 2.0 16V
,ZX Furio
,ZX Paris 1.8
,ZX Volcane 3p e 5p
Cross Lander,CL-244 2.8 132cv 4x4 TB Int. Diesel
,CL-330 2.8 132cv 4x4 TB Int. Diesel
Daewoo,Espero 2.0
,Espero CD / DLX 2.0
,Lanos Hatch SX 1.6 16V
,Lanos SX 1.6 16V
,Lanos SX 1.6 16V Aut
,Leganza CDX 2.0 16V Aut.
,Leganza CDX 2.0 16V Mec.
,Nubira CDX 2.0 16V Aut.
,Nubira CDX 2.0 16V Mec.
,Nubira SW CDX 2.0 16V Aut.
,Nubira SW CDX 2.0 16V Mec.
,Prince Ace 2.0
,Racer GTi 1.5 16V
,Super Salon Ace
,Tico
Daihatsu,Applause 1.6 16V
,Applause DLX 1.6 16V
,Charade CX/TS 1.0
,Charade Sd 1.5/DLX 1.3
,Charade Sedan 1.3i 16V
,Charade TS/TSi 1.3/LSi 1.5 16V
,Charade TX 1.3 16V
,Cuore 0/TS0 85i
,Cuore CS/CSL
,Cuore TS/TSL
,Feroza DX 1.6 16V
,Feroza SX 1.6i 16V
,Gran Move 1.5/1.6 16V
,Move Van
,Terios 1.3 16V
Dodge,Avenger ES 2.0/2.5 16V
,Dakota 2.5
,Dakota Club 2.5
,Dakota Durango 5.9 4x4 V8
,Dakota Durango SLT 5.2 4x4 V8
,Dakota Intrepid 3.3 V6
,Dakota RT 5.2 Aut
,Dakota RT 5.2 CE Aut
,Dakota Sport 2.5 4x4
,Dakota Sport 2.5 CD Diesel
,Dakota Sport 2.5 Diesel
,Dakota Sport 3.9 V6
,Dakota Sport 3.9 V6 CD Aut.
,Dakota Sport 3.9 V6 CD Mec.
,Dakota Sport 5.2 V8
,Dakota Sport 5.2 V8 CD Aut.
,Dakota Sport CE 2.5 Diesel
,Dakota Sport CE 3.9 V6
,Durango Citadel 3.6 24V 4x4 Aut.
,Durango Crew 3.6 24V 4x4 Aut.
,Durango Limited 3.6 24V 4x4 Aut.
,JOURNEY Crossroad 3.6 V6 Aut.
,JOURNEY RT 3.6 V6 Aut.
,JOURNEY RT 2.7 V6 185cv Aut.
,JOURNEY RT 3.6 AWD V6 Aut.
,JOURNEY SE 2.7 V6 185cv Aut.
,JOURNEY SXT 2.7 V6 185cv Aut.
,JOURNEY SXT 3.6 V6 Aut.
,Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies.
,Ram 2500 H.DUTY 5.9 SLT TDI CS 4x4 Dies.
,Ram 2500 LARAMIE 6.7 TDI CD 4x4 Dies
,Ram 2500 TROPIVAN 5.9 SLT Exec.TDI Dies.
,Ram 2500 TROPIVAN 5.9 SLT TDI 4x4 Dies.
,Ram Laramie 5.9 V8
,Ram Laramie/SLT 5.2 V8
,Ram Sport 5.9 V8
,Stealth 3.0 MPI
EFFA,K01 Pick-up CS 1.0 8V 2p
,K02 Pick-up CD 1.0 8V 4p
,M-100 1.0 8v 5p
,Plutus 3.2 8V 4x2 CD Turbo Diesel
,Start Picape CD 1.0 8V 5p
,Start Picape L 1.0 8V 2p
,Start Van 1.0 8V 4p
,ULC FURGÃO 1.0 8V 5p
,ULC PICAPE 1.0 8V 2p
,ULC PICAPE CD 1.0 8V 4p
,ULC PICAPE Longa 1.0 8V 2p
,ULC PICAPE Longa Bau 1.0 8V 2p
,ULC VAN 1.0 8V 5p
,V21 Pick-up CS 1.3 16V 2p
,V22 Pick-up CD 1.3 16V 4p
Engesa,Engesa 4x4 2.5/4.1
,Engesa 4x4 4.0 Diesel
Envemo,Camper 2.5/GL/GLS/Master 4.1
,Camper 4x4 2.5 Diesel
,Camper GL/GLS 4x4 4.0 Diesel
,Master 4.0 Diesel
Ferrari,348 GTS 3.4
,348 Spider 3.4
,348 TS/TB 3.4
,355 Berlinetta
,355 Berlinetta F1
,355 GTS
,355 GTS F1
,355 GTS Spider
,355 GTS Targa
,355 Spider F1
,360 Challenge Stradale
,360 Modena
,360 Modena F1
,360 Spider 400cv
,360 Spider F1 400cv
,456 GT
,456 GTA
,456 M-GT 5.5 V12
,458 Speciale A
,488 GTB 3.9 V8 670cv
,488 Spyder 3.9 V8 670cv
,550 Maranello
,575M Maranello F1 V12 515cv
,612 Scaglietti F1 V12 540cv
,California 3.9 Turbo F1 V8 560cv
,California F1 V8 460cv
,F12 Berlinetta 740cv
,F12 TDF 780cv
,F430 F1
,F430 SCUDERIA F1
,F430 Spider F1
,F458 Italia F1 4.5 V8 570cv
,F458 Speciale F1 4.5 V8
,F458 Spider F1 4.5 V8 570cv
,F599 GTB Fiorano F1 6.0 V12 620cv
,FF F1 6.3 V12 660cv
Fiat,147 C/ CL
,147 Furgão (todos)
,147 Pick-Up (todas )
,500 ABARTH MULTIAIR 1.4 TB 16V 3p
,500 Cabrio Dualogic Flex 1.4 8V
,500 Cabrio Flex 1.4 8V Mec
,500 Cabrio/500 Coupe GUCCI/Flex 1.4 Aut
,500 Cult 1.4 Flex 8V EVO Dualogic
,500 Cult 1.4 Flex 8V EVO Mec.
,500 LOUNGE 1.4 16V 100cv Mec.
,500 LOUNGE 1.4 16V 100cv Dualogic
,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.
,500 SPORT 1.4 16V 100cv Dualogic
,500 SPORT 1.4 16V 100cv Mec.
,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.
,500 Sport Air 1.4 16V/1.4 Flex Mec.
,Brava ELX 1.6 16V 4p
,Brava HGT 1.8 mpi 16V 4p
,Brava SX 1.6 16V 4p
,Bravo ABSOLUTE 1.8 Flex 16V 5p
,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p
,Bravo BlackMotion 1.8 Dualogic Flex 5p
,Bravo BlackMotion 1.8 Flex 16v 5p
,Bravo ESSENCE 1.8 Flex 16V 5p
,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p
,Bravo SPORTING 1.8 Dualogic Flex 16V 5p
,Bravo SPORTING 1.8 Flex 16V 5p
,Bravo SX 1.6
,Bravo T-JET 1.4 16V Turbo 5p
,Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p
,Bravo WOLVERINE 1.8 Flex 16V 5p
,Cinquecento 0.7
,Coupe 16V
,Doblo 1.4 mpi Fire Flex 8V 4p
,Doblo Cargo 1.4 mpi Fire Flex 8V 3p
,Doblo Adv. XINGU 1.8 Flex 16V 5p
,Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p
,Doblo Adv.Ext./Adv.Ext.Loc. 1.8 16V Flex
,Doblo Adv/Adv TRYON/LOCKER 1.8 Flex
,Doblo Adventure/ Adv.ER 1.8 mpi 8V 103cv
,Doblo ATTRACTIVE 1.4 Fire Flex 8V 5p
,Doblo Cargo 1.3 Fire 16V 4/5p
,Doblo Cargo 1.6 16V 4/5p
,Doblo Cargo 1.8 mpi 8V 103cv
,Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p
,Doblo ELX 1.4 mpi Fire Flex 8V 4p
,Doblo ELX 1.6 16V 4/5p
,Doblo ELX 1.8 mpi 8V 103cv
,Doblo ELX 1.8 mpi 8V Flex
,Doblo ESSENCE 1.8 Flex 16V 5p
,Doblo EX 1.3 Fire 16V 80cv 4/5p
,Doblo HLX 1.8 mpi Flex 5p
,Ducato Cargo 2.8 Curto/Longo TB Diesel
,Ducato Cargo Curto 2.3 ME Diesel
,Ducato Cargo Longo 2.3 ME Diesel
,Ducato Combinato 2.3 ME Diesel
,Ducato Combinato 2.8 Diesel
,Ducato Combinato 2.8 Turbo Diesel
,Ducato Furgão Maxi 2.8 Diesel
,Ducato Maxi. Curta 2.3 T.Alto ME Diesel
,Ducato Maxi. Long. 2.3 T.Alto ME Diesel
,Ducato MaxiCargo/Furgão Maxi 2.8 TB Dies
,Ducato Minibus 2.3 ME Diesel
,Ducato Minibus 2.3 T.Alto ME Diesel
,Ducato Minibus 2.8 Diesel
,Ducato Minibus 2.8 Turbo Diesel
,Ducato Mult/ Vetrato 2.8 T.Alto TB Dies.
,Ducato Mult/ Vetrato 2.8 T.Baixo TB Dies
,Ducato Multi Long. 2.3 T.Alto ME Diesel
,Ducato Van 2.5 Diesel
,Ducato-10 Furgão 2.5 Diesel
,Ducato-15 2.8 Furgão TB Diesel
,Ducato-15 Furgão 2.8 Diesel
,Ducato-8 Furgão 2.5 Diesel
,Duna 1.6ie
,Elba 1.6i.e/Top/CSL/ 1.6i.e/1.5 2p e 4p
,Elba CS 1.6 / 1.5 /1.3
,Elba S 1.6/ 1.5ie / 1.5 / 1.3
,Elba Weekend 1.5 i.e. 2p e 4p
,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex
,Fiorino Furgão 1.0
,Fiorino Furgão 1.5 mpi / i.e.
,Fiorino Furgão Celeb. EVO 1.4 Flex 8V 2p
,Fiorino Furgão EVO 1.4 Flex 8V 2p
,Fiorino Furgão Work. HARD 1.4 Flex 8V 2p
,Fiorino Pick-Up 1.0
,Fiorino Pick-Up 1.5 i.e. / 1.3/1.5 /HD/
,Fiorino Pick-Up LX ( todas)
,Fiorino Pick-Up Trekking 1.5 mpi / i.e.
,Fiorino Pick-Up Working 1.5 mpi / i.e.
,FREEMONT 2.4 16V 5p Aut.
,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V
,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p
,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex
,Grand Siena ESSEN.SUBLIME 1.6 Flex
,Grand Siena ESSEN.SUBLIME Dual. 1.6 Flex
,Grand Siena ESSENCE 1.6 Flex 16V
,Grand Siena ESSENCE Dual. 1.6 Flex 16V
,Grand Siena ESSENCE ITALIA 1.6 Flex 16V
,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V
,Idea A.Ext./A..Ext.Loc.Dual. 1.8 Flex 5p
,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p
,Idea Adv.Ext./Adv.Ext. Loc. 1.8 Flex 5p
,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p
,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p
,Idea ELX 1.4 mpi Fire Flex 8V 5p
,Idea ELX 1.8 mpi Flex 8V 5p
,Idea ESSENCE 1.6 Flex 16V 5p
,Idea ESSENCE Dualogic 1.6 Flex 16V 5p
,Idea ESSENCE SUBLIME 1.6 Flex 16V 5p
,Idea ESSENCE SUBLIME Dual.1.6 Flex16V 5p
,Idea HLX 1.8 mpi Flex 8V 5p
,Idea SPORTING 1.8 Flex 16V 5p
,Idea SPORTING Dualogic 1.8 Flex 16V 5p
,LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p
,LINEA 1.9/ HLX 1.9/1.8 Flex Dualogic 4p
,LINEA ABSOLUTE 1.9/1.8 Flex Dualogic 4p
,LINEA ESSEN.SUBLIME 1.8 Flex 16V 4p
,LINEA ESSEN.SUBLIME Dual.1.8 Flex 16V 4p
,LINEA ESSENCE 1.8 Flex 16V 4p
,LINEA ESSENCE Dualogic 1.8 Flex 16V 4p
,LINEA LX 1.9/ 1.8 Flex 16V 4p
,LINEA LX 1.9/ 1.8 Flex 16V Dualogic 4p
,LINEA T-JET 1.4 16V Turbo 4p
,Marea City
,Marea ELX 1.8 mpi 16V 132cv 4p
,Marea ELX 2.0 20V 4p
,Marea ELX 2.4 mpi 20V 4p
,Marea HLX 2.0 20V 4p
,Marea HLX 2.4 mpi 20V 4p Aut.
,Marea HLX 2.4 mpi 20V 4p Mec.
,Marea SX 1.6 mpi 16V 106cv 4p
,Marea SX 1.8 16V 4p
,Marea SX 2.0 20V 4p
,Marea Turbo 2.0 20V 4p
,Marea Weekend City 4p
,Marea Weekend ELX 1.8 mpi 16V 132cv 4p
,Marea Weekend ELX 2.0 20V 4p
,Marea Weekend ELX 2.4 mpi 20V 4p
,Marea Weekend HLX 2.0 20V 4p
,Marea Weekend HLX 2.4 mpi 20V 4p Aut.
,Marea Weekend HLX 2.4 mpi 20V 4p Mec.
,Marea Weekend SX 1.6 mpi 16V 106cv 4p
,Marea Weekend SX 1.8 16V 4p
,Marea Weekend SX 2.0 20V 4p
,Marea Weekend Turbo 2.0 20V 4p
,MOBI DRIVE 1.0 Flex 6V 5p
,MOBI Easy 1.0 Fire Flex 5p.
,MOBI Easy on 1.0 Fire Flex 5p.
,MOBI Like 1.0 Fire Flex 5p.
,MOBI Like on 1.0 Fire Flex 5p.
,MOBI WAY 1.0 Fire Flex 5p.
,MOBI WAY on 1.0 Fire Flex 5p.
,Oggi
,Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p
,Palio 1.0 Celebr. ECONOMY F.Flex 8V 2p
,Palio 1.0 ECONOMY Fire Flex 8V 2p
,Palio 1.0 ECONOMY Fire Flex 8V 4p
,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2p
,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p
,Palio 1.5 mpi 8V 2p
,Palio 1.5 mpi 8V 4p
,Palio 1.6 mpi 16V 2p
,Palio 1.6 mpi 16V 4p
,Palio 1.8R mpi Flex 8V 2p
,Palio 1.8R mpi Flex 8V 4p
,Palio ATTRA. Best Seller 1.0 EVO Flex 5p
,Palio ATTRA. Best Seller 1.4 EVO Flex 5p
,Palio ATTRACTIVE 1.0 EVO Fire Flex 8v 5p
,Palio ATTRACTIVE 1.4 EVO Fire Flex 8V 5p
,Palio Celebration 1.0 Fire Flex 8V 2p
,Palio Celebration 1.0 Fire Flex 8V 4p
,Palio City 1.0 4p
,Palio City 1.5/1.6 4p
,Palio CityMatic 1.0 mpi
,Palio ED 1.0 mpi 2p e 4p
,Palio EDX 1.0 mpi 2p
,Palio EDX 1.0 mpi 4p
,Palio EL 1.5 mpi 2p e 4p
,Palio EL 1.6 spi 2p e 4p
,Palio ELX 1.0 Fire/30 Anos F. Flex 8V 4p
,Palio ELX 1.0 mpi Fire 16v 4p (25 anos)
,Palio ELX 1.0/ 1.0 Fire Flex 8V 2p
,Palio ELX 1.3 mpi Fire 16v 4p
,Palio ELX 1.3 mpi Flex 8V 4p
,Palio ELX 1.4 mpi Fire Flex 8V 4p
,Palio ELX 1.5 4p
,Palio ELX 1.6 4p
,Palio ELX 1.6 mpi 16v 4p
,Palio ELX 1.8/ 1.8 mpi Flex 8V 4p
,Palio ELX Dualogic 1.8 mpi Flex 8V 4p
,Palio ELX/ 500 1.0 4p
,Palio ESSENCE 1.6 Flex 16V 5p
,Palio ESSENCE Dualogic 1.6 Flex 16V 5p
,Palio EX 1.0 mpi 2p
,Palio EX 1.0 mpi 4p
,Palio EX 1.0 mpi Fire 8v 4p
,Palio EX 1.0 mpi Fire/ Fire Flex 8v 2p
,Palio EX 1.3 mpi Fire 8V 67cv 2p
,Palio EX 1.3 mpi Fire 8V 67cv 4p
,Palio EX 1.8 mpi 8V 103cv 4p
,Palio EX Century 1.0 mpi Fire 16v 2p
,Palio EX Century 1.0 mpi Fire 16v 4p
,Palio HLX 1.8 mpi 8V 103cv 4p
,Palio HLX 1.8 mpi Flex 8V 4p
,Palio Rua 1.0 Fire Flex 8V 5p
,Palio SPORT.INTERLAGOS 1.6 Flex 16V
,Palio SPORT.INTERLAGOS Dual.1.6 Flex 16V
,Palio SPORTING 1.6 Flex 16V 5p
,Palio SPORTING B.Edit. 1.6 Flex 16V 5p
,Palio SPORTING Dual. B.Edit. 1.6 Flex 5p
,Palio SPORTING Dualogic 1.6 Flex 16V 5p
,Palio Stile 1.6 mpi 16v 4p
,Palio W.Adv. LOC. ITAL.Dual.1.8 Flex 16V
,Palio W.ADV. LOCK. ITALIA 1.8 Flex 16V
,Palio Way 1.0 Fire Flex 8V 5p
,Palio Way Celebration 1.0 F. Flex 8V 5p
,Palio Week. Adv. Dualogic 1.8 Flex
,Palio Week. Adv. ITALIA 1.8 Flex 16V
,Palio Week. Adv/Adv TRYON 1.8 mpi Flex
,Palio Week. ATTRACTIVE 1.4 Fire Flex 8V
,Palio Week.Adv. ITAL. Dual. 1.8 Flex 16V
,Palio Week.Adv.LOCK.Dualogic 1.8 Flex
,Palio Weekend 1.0 6-marchas
,Palio Weekend 1.5 mpi 4p
,Palio Weekend 1.6 mpi 16V 4p
,Palio Weekend Adv. Ext. 1.8 Dual. Flex
,Palio Weekend Adv. Ext. 1.8 Flex
,Palio Weekend Adv. Loc.Ext.1.8 Dual.Flex
,Palio Weekend Adv. LOCKER Ext. 1.8 Flex
,Palio Weekend Adventure 1.6 8v/16v
,Palio Weekend Adventure 1.8 8V 103cv 4p
,Palio Weekend Adventure LOCKER 1.8 Flex
,Palio Weekend City 1.5/ 1.6 4p
,Palio Weekend ELX 1.0 mpi Fire 16V
,Palio Weekend ELX 1.3 mpi Fire 16V
,Palio Weekend ELX 1.3 mpi Flex 8V 4p
,Palio Weekend ELX 1.4 mpi Fire Flex 8V
,Palio Weekend ELX 1.5 mpi 4p
,Palio Weekend ELX 1.6 mpi
,Palio Weekend EX 1.3 mpi Fire 8V 67cv 4p
,Palio Weekend EX 1.5 mpi
,Palio Weekend EX 1.8 mpi 8V 103cv 4p
,Palio Weekend HLX 1.8 mpi Flex 4p
,Palio Weekend Sport 1.6 mpi 16V 4p
,Palio Weekend Stile 1.6 mpi 16V 4p
,Palio Weekend Stile 1.8 mpi 8V 103cv 4p
,Palio Weekend Trekking 1.4 Fire Flex 8V
,Palio Weekend Trekking 1.6 Flex 16V 5p
,Palio Weekend Trekking 1.8 mpi Flex 8V
,Palio Young 1.0 mpi 8v 2p
,Palio Young 1.0 mpi 8v 4p
,Palio Young 1.0 mpi Fire 8V 2p
,Palio Young 1.0 mpi Fire 8V 4p
,Panorama C/CL
,Premio CS 1.5 i.e. 2p/ SL 1.6/1.5/1.3 4p
,Premio CS 1.6/ 1.5/ 1.3 2p
,Premio CSL 1.6 i.e./ 1.5 4p
,Premio CSL 1.6/ 1.5
,Premio S 1.5 i.e./ 1.5 / 1.3
,Punto ELX 1.4 Fire Flex 8V 5p
,Punto 1.4 Fire Flex 8V 5p
,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p
,Punto ATTRACTIVE ITALIA 1.4 F.Flex 8V 5p
,Punto BLACKMOTION 1.8 Flex 16V 5p.
,Punto BLACKMOTION Dual. 1.8 Flex 16v 5p
,Punto Cabrio
,Punto EL/ELX
,Punto ESSENCE 1.6 Flex 16V 5p
,Punto ESSENCE 1.8 Flex 16V 5p
,Punto ESSENCE Dualogic 1.6 Flex 16V 5p
,Punto ESSENCE Dualogic 1.8 Flex 16V 5p
,Punto ESSENCE SP 1.6 Flex 16V 5p
,Punto ESSENCE SP Dualogic 1.6 Flex 16V
,Punto HLX 1.8 Flex 8V 5p
,Punto S
,Punto Sporting 1.8 Flex 8V / 16V 5p
,Punto Sporting Dualogic 1.8 Flex 16V 5p
,Punto SX
,Punto T-JET 1.4 16V Turbo 5p
,Siena 1.0 mpi/ 500 1.0 mpi
,Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v
,Siena 1.5 mpi 8V 4p
,Siena ATTRACTIVE 1.0 Fire Flex 8V 4p
,Siena ATTRACTIVE 1.4 Fire Flex 8V 4p
,Siena Celebration 1.0 Fire Flex 8V 4p
,Siena City 4p
,Siena EL 1.0 mpi Fire Flex 8V 4p
,Siena EL 1.4 mpi Fire Flex 8V 4p
,Siena EL 1.6 mpi 16V
,Siena EL 1.6 spi
,Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p
,Siena EL Celeb. 1.4 mpi Fire Flex 8V 4p
,Siena ELX 1.0 mpi Fire 16v 4p (25 anos)
,Siena ELX 1.0 mpi Fire/Fire Flex 8V 4p
,Siena ELX 1.3 mpi Fire 16V 4p
,Siena ELX 1.3 mpi Flex 8V 4p
,Siena ELX 1.4 mpi Fire Flex 8V 4p
,Siena ELX 1.5 mpi 4p
,Siena ELX 1.6 mpi 8V/16V 4p
,Siena ELX 1.8 mpi 8V 103cv 4p
,Siena ESSENCE 1.6 Flex 16V 4p
,Siena ESSENCE Dualogic 1.6 Flex 16V 4p
,Siena EX 1.0 mpi Fire 16v 4p
,Siena EX 1.3 mpi Fire 8V 67cv 4p
,Siena EX 1.8 mpi 8V 103cv 4p
,Siena HL 1.6 mpi 16V
,Siena HLX 1.8 mpi Flex 8V 4p
,Siena HLX Dualogic 1.8 mpi Flex 8V 4p
,Siena Sporting 1.6 Flex 16V 4p
,Siena Sporting Dualogic 1.6 Flex 16V 4p
,Siena Stile/Sport MTV 1.6 mpi 16V
,Siena TETRAFUEL 1.4 mpi Fire Flex 8v 4p
,Stilo 1.8 ATTRACTIVE Flex 8V 5p
,Stilo 1.8 MS Lim.Edit./ MS Season 16V
,Stilo 1.8 SP Flex 8V 5p
,Stilo 1.8 Sporting Flex 8V 5P
,Stilo 1.8/ 1.8 Connect 8V 103cv 5p
,Stilo 1.8/ 1.8 Connect Flex 8V 5p
,Stilo 1.8/ 1.8 SP/ Connect 16V 122cv 5p
,Stilo 2.4 Abarth 20V 167cv 5p
,Stilo Dualogic 1.8 BlackMotion Flex 8V
,Stilo Dualogic 1.8 Flex 8V 5p
,Stilo Dualogic 1.8 SP Flex 8V 5p
,Stilo Dualogic 1.8 Sporting Flex 8V 5p
,Stilo Duologic 1.8 ATTRACTIVE Flex 8V 5p
,Strada 1.3 mpi Fire 8V 67cv CE
,Strada 1.3 mpi Fire 8V 67cv CS
,Strada 1.4 mpi Fire Flex 8V CE
,Strada 1.4 mpi Fire Flex 8V CS
,Strada Adv. Ext. 1.8 LOCKER Dual.Flex CE
,Strada Adv. Ext./ Ext.1.8 LOCKER Flex CE
,Strada Adv. Extreme 1.8 Dual. Flex CE
,Strada Adv. M. March. 1.8 Flex 16V CD
,Strada Adv. M. March.1.8 Dual. Flex CD
,Strada Adv.1.8 16V LOCKER Dual. Flex CE
,Strada Adv.1.8 16V Dualogic Flex CD
,Strada Adv.1.8 16V Dualogic Flex CE
,Strada Adv.1.8 16V LOCKER Dualo. Flex CD
,Strada Adv.Ext. 1.8 LOCKER Dual. Flex CD
,Strada Adv.Ext./ Ext. 1.8 LOCKER Flex CD
,Strada Adv/Adv TRYON 1.8 mpi Flex 8V CE
,Strada Adventure 1.6 mpi 16V CE
,Strada Adventure 1.8 mpi 8V 103cv CE
,Strada Adventure 1.8/ 1.8 LOCKER Flex CE
,Strada Adventure Ext. 1.8 Dual. Flex CD
,Strada Adventure1.8/ 1.8 LOCKER Flex CD
,Strada Celeb. 1.4 mpi Fire Flex 8V CE
,Strada Celeb. 1.4 mpi Fire Flex 8V CS
,Strada LX 1.6 16V CE
,Strada LX 1.6 mpi 16V
,Strada Sporting 1.8 Flex 16V CE
,Strada Trek. M. March. 1.6 Flex 16V CE
,Strada Trekking 1.4 mpi Fire Flex 8V CE
,Strada Trekking 1.4 mpi Fire Flex 8V CS
,Strada Trekking 1.6 16V Flex CD
,Strada Trekking 1.6 16V Flex CE
,Strada Trekking 1.6 16V Flex CS
,Strada Trekking 1.6 16V LOCKER Flex CD
,Strada Trekking 1.6 mpi
,Strada Trekking 1.8 mpi Flex 8V CE
,Strada Trekking 1.8 mpi Flex 8V CS
,Strada Working 1.4 mpi Fire Flex 8V CD
,Strada Working 1.4 mpi Fire Flex 8V CE
,Strada Working 1.4 mpi Fire Flex 8V CS
,Strada Working 1.6 mpi 16V CE
,Strada Working 1.6 mpi 16V CS
,Strada Working 1.8 mpi 8v 103cv CE
,Strada Working 1.8 mpi 8V 103cv CS
,Strada Working Celeb.1.4 Fire Flex 8V CD
,Strada Working Celeb.1.4 Fire Flex 8V CE
